0.00,1.50
1.00,2.50
2.00,3.50
3.00,4.50
4.00,5.50
5.00,6.50
6.00,7.50
7.00,8.50
8.00,9.50
9.00,10.50
10.00,11.50
11.00,12.50
12.00,13.50
13.00,14.50
14.00,15.50
15.00,16.50
16.00,17.50
17.00,18.50
18.00,19.50
19.00,20.50
20.00,21.50
21.00,22.50
22.00,23.50
23.00,24.50
24.00,25.50
25.00,26.50
26.00,27.50
27.00,28.50
28.00,29.50
29.00,30.50
30.00,31.50
31.00,32.50
32.00,33.50
33.00,34.50
34.00,35.50
35.00,36.50
36.00,37.50
37.00,38.50
38.00,39.50
39.00,40.50
40.00,41.50
41.00,42.50
42.00,43.50
43.00,44.50
44.00,45.50
45.00,46.50
46.00,47.50
47.00,48.50
48.00,49.50
49.00,50.50
50.00,51.50
51.00,52.50
52.00,53.50
53.00,54.50
54.00,55.50
55.00,56.50
56.00,57.50
57.00,58.50
58.00,59.50
59.00,60.50
60.00,61.50
61.00,62.50
62.00,63.50
63.00,64.50
64.00,65.50
65.00,66.50
66.00,67.50
67.00,68.50
68.00,69.50
69.00,70.50
70.00,71.50
71.00,72.50
72.00,73.50
73.00,74.50
74.00,75.50
75.00,76.50
76.00,77.50
77.00,78.50
78.00,79.50
79.00,80.50
80.00,81.50
81.00,82.50
82.00,83.50
83.00,84.50
84.00,85.50
85.00,86.50
86.00,87.50
87.00,88.50
88.00,89.50
89.00,90.50
90.00,91.50
91.00,92.50
92.00,93.50
93.00,94.50
94.00,95.50
95.00,96.50
96.00,97.50
97.00,98.50
98.00,99.50
99.00,100.50
