0,20
1,21.25
2,22.5
3,23.75
4,25
5,26.25
6,27.5
7,28.75
8,30
9,31.25
10,32.5
11,33.75
12,35
13,36.25
14,37.5
15,38.75
16,40
17,41.25
18,42.5
19,43.75
20,45
21,46.25
22,47.5
23,48.75
24,50
25,51.25
26,52.5
27,53.75
28,55
29,56.25
30,57.5
31,58.75
32,60
33,61.25
34,62.5
35,63.75
36,65
37,66.25
38,67.5
39,68.75
40,70
41,71.25
42,72.5
43,73.75
44,75
45,76.25
46,77.5
47,78.75
48,80
49,81.25
50,82.5
51,83.75
52,85
53,86.25
54,87.5
55,88.75
56,90
57,91.25
58,92.5
59,93.75
60,95
61,96.25
62,97.5
63,98.75
64,100
65,101.25
66,102.5
67,103.75
68,105
69,106.25
70,107.5
71,108.75
72,110
73,111.25
74,112.5
75,113.75
76,115
77,116.25
78,117.5
79,118.75
80,120
81,121.25
82,122.5
83,123.75
84,125
85,126.25
86,127.5
87,128.75
88,130
89,131.25
90,132.5
91,133.75
92,135
93,136.25
94,137.5
95,138.75
96,140
97,141.25
98,142.5
99,143.75
0,20
1,21.25
2,22.5
3,23.75
4,25
5,26.25
6,27.5
7,28.75
8,30
9,31.25
10,32.5
11,33.75
12,35
13,36.25
14,37.5
15,38.75
16,40
17,41.25
18,42.5
19,43.75
20,45
21,46.25
22,47.5
23,48.75
24,50
25,51.25
26,52.5
27,53.75
28,55
29,56.25
30,57.5
31,58.75
32,60
33,61.25
34,62.5
35,63.75
36,65
37,66.25
38,67.5
39,68.75
40,70
41,71.25
42,72.5
43,73.75
44,75
45,76.25
46,77.5
47,78.75
48,80
49,81.25
50,82.5
51,83.75
52,85
53,86.25
54,87.5
55,88.75
56,90
57,91.25
58,92.5
59,93.75
60,95
61,96.25
62,97.5
63,98.75
64,100
65,101.25
66,102.5
67,103.75
68,105
69,106.25
70,107.5
71,108.75
72,110
73,111.25
74,112.5
75,113.75
76,115
77,116.25
78,117.5
79,118.75
80,120
81,121.25
82,122.5
83,123.75
84,125
85,126.25
86,127.5
87,128.75
88,130
89,131.25
90,132.5
91,133.75
92,135
93,136.25
94,137.5
95,138.75
96,140
97,141.25
98,142.5
99,143.75
0,20
1,21.25
2,22.5
3,23.75
4,25
5,26.25
6,27.5
7,28.75
8,30
9,31.25
10,32.5
11,33.75
12,35
13,36.25
14,37.5
15,38.75
16,40
17,41.25
18,42.5
19,43.75
20,45
21,46.25
22,47.5
23,48.75
24,50
25,51.25
26,52.5
27,53.75
28,55
29,56.25
30,57.5
31,58.75
32,60
33,61.25
34,62.5
35,63.75
36,65
37,66.25
38,67.5
39,68.75
40,70
41,71.25
42,72.5
43,73.75
44,75
45,76.25
46,77.5
47,78.75
48,80
49,81.25
50,82.5
51,83.75
52,85
53,86.25
54,87.5
55,88.75
56,90
57,91.25
58,92.5
59,93.75
60,95
61,96.25
62,97.5
63,98.75
64,100
65,101.25
66,102.5
67,103.75
68,105
69,106.25
70,107.5
71,108.75
72,110
73,111.25
74,112.5
75,113.75
76,115
77,116.25
78,117.5
79,118.75
80,120
81,121.25
82,122.5
83,123.75
84,125
85,126.25
86,127.5
87,128.75
88,130
89,131.25
90,132.5
91,133.75
92,135
93,136.25
94,137.5
95,138.75
96,140
97,141.25
98,142.5
99,143.75
